fo_id,param_formula,formula,admin_mode
45,f45,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((fr_p)*(p_th))+(fr_g)+(fr_n)+(p_f_f_s),system
46,f46,((le_m_s)*(u_th))+((ri_m_s)*(u_th))+((le_p)*(p_th))+((ri_p)*(p_th))+(le_g)+(ri_g)+(le_n)+(ri_n)+(p_l_m_s)+(p_r_m_s),system
47,f47,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((b_th_ca)*(b_th))+((fr_p)*(p_th))+((ba_p)*(p_th))+(fr_g)+(ba_g)+(fr_n)+(ba_n)+(p_f_m_s)+(p_b_m_s),system
48,f48,((le_m_s)*(u_th))+((le_p)*(p_th))+(le_g)+(le_n)+(p_l_m_s),system
49,f49,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((fr_p)*(p_th))+(fr_g)+(fr_n)+(p_f_m_s),system
50,f50,(dr_g_th)+((le_f_s_dr)*(le_ri_s_dr_th))+((ri_f_s_dr)*(le_ri_s_dr_th))+l_o_dr+r_o_dr+(le_p*p_th)+(ri_p*p_th)+le_g+ri_g+le_n+ri_n+p_l_f_s_dr+p_r_f_s_dr+(2*(u_th)),system
51,f51,((bo_p)*(p_th))+(bo_g)+u_f_o+u_f_h,system
52,f52,p_t_f_s_dr+p_b_f_s_dr+( bo_dr_ca*bo_dr_th),system
53,f53,((dr_g_th)/2)+((le_f_s_dr)*(le_ri_s_dr_th))+l_o_dr+(le_p*p_th)+le_g+le_n+p_l_f_s_dr+u_th,system
54,f54,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((fr_p)*(p_th))+(fr_g)+(fr_n)+p_f_f_s_dr+p_f_dr_b,system
55,f55,(bo_dr_ca*bo_dr_th)+((bo_p)*(p_th))+(bo_g)+p_b_f_s_dr+b_o_dr+u_f_o+u_f_h,system
56,f56,(dr_g_th)+((le_b_s_dr)*(le_ri_s_dr_th))+((ri_b_s_dr)*(le_ri_s_dr_th))+l_o_dr+r_o_dr+(le_p*p_th)+(ri_p*p_th)+le_g+ri_g+le_n+ri_n+p_l_b_s_dr+p_r_b_s_dr+(2*(u_th)),system
57,f57,p_t_b_s_dr+p_bo_b_s_dr+( bo_dr_ca*bo_dr_th),system
58,f58,((dr_g_th)/2)+((le_b_s_dr)*(le_ri_s_dr_th))+l_o_dr+(le_p*p_th)+le_g+le_n+p_l_b_s_dr+u_th,system
59,f59,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((fr_p)*(p_th))+(fr_g)+(fr_n)+dr_g_d+p_f_dr_b-p_b_b_s_dr,system
60,f60,(bo_dr_ca*bo_dr_th)+((bo_p)*(p_th))+(bo_g)+p_bo_b_s_dr+b_o_dr+u_f_o+u_f_h,system
61,f61,(fr_l_s_dr*fr_ba_s_dr_th)+(ba_l_s_dr*fr_ba_s_dr_th)+p_f_l_s_dr+p_b_l_s_dr,system
62,f62,p_t_l_s_dr+p_bo_l_s_dr+( bo_dr_ca*bo_dr_th),system
63,f63,u_th+((dr_g_th)/2)+(le_p*p_th)+le_g+le_n+p_r_l_s_dr+l_o_dr,system
64,f64,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((fr_p)*(p_th))+(fr_g)+(fr_n)+(fr_l_s_dr*fr_ba_s_dr_th)+p_f_l_s_dr+p_f_dr_b,system
65,f65,(bo_dr_ca*bo_dr_th)+((bo_p)*(p_th))+(bo_g)+p_bo_l_s_dr+b_o_dr+u_f_o+u_f_h,system
66,f66,(fr_r_s_dr*fr_ba_s_dr_th)+(ba_r_s_dr*fr_ba_s_dr_th)+p_f_r_s_dr+p_b_r_s_dr,system
67,f67,p_t_r_s_dr+p_bo_r_s_dr+( bo_dr_ca*bo_dr_th),system
68,f68,((dr_g_th)/2)+r_o_dr+(ri_p*p_th)+ri_g+ri_n+p_l_r_s_dr+u_th,system
69,f69,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((fr_p)*(p_th))+(fr_g)+(fr_n)+(fr_r_s_dr*fr_ba_s_dr_th)+p_f_r_s_dr+p_f_dr_b,system
70,f70,(bo_dr_ca*bo_dr_th)+((bo_p)*(p_th))+(bo_g)+p_bo_r_s_dr+b_o_dr+u_f_o+u_f_h,system
71,f71,(dr_g_th)+((le_bo_dr)*(le_ri_s_dr_th))+((ri_bo_dr)*(le_ri_s_dr_th))+l_o_dr+r_o_dr+(le_p*p_th)+(ri_p*p_th)+le_g+ri_g+le_n+ri_n+p_l_bo_dr+p_r_bo_dr+(2*(u_th)),system
72,f72,(fr_bo_dr*fr_ba_s_dr_th)+(ba_bo_dr*fr_ba_s_dr_th)+p_f_bo_dr+p_b_bo_dr,system
73,f73,((dr_g_th)/2)+((le_bo_dr)*(le_ri_s_dr_th))+l_o_dr+(le_p*p_th)+le_g+le_n+p_l_bo_dr+u_th,system
74,f74,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((fr_p)*(p_th))+(fr_g)+(fr_n)+(fr_bo_dr*fr_ba_s_dr_th)+p_f_bo_dr+p_f_dr_b,system
75,f75,((bo_p)*(p_th))+(bo_g)+p_u_bo_dr+b_o_dr+u_f_o+u_f_h,system
76,f76,((bo_p)*(p_th))+(bo_g)+((to_p)*(p_th))+(to_g)+(c_th)+(c_g)+p_to_pa+p_bo_pa+u_f_o,system
77,f77,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((b_th_ca)*(b_th))+((fr_p)*(p_th))+((ba_p)*(p_th))+(fr_g)+(ba_g)+(fr_n)+(ba_n)+(p_fr_pa)+(p_ba_pa),system
78,f78,((ri_p)*(p_th))+(ri_g)+(ri_n)+ri_o_pa,system
79,f79,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((fr_p)*(p_th))+(fr_g)+(fr_n)+(p_fr_pa),system
80,f80,((bo_p)*(p_th))+(bo_g)+p_bo_pa+u_f_o,system
81,f81,((bo_p)*(p_th))+(bo_g)+((to_p)*(p_th))+(to_g)+(c_th)+(c_g)+p_to_bar+p_bo_bar+u_f_o,system
82,f82,((ri_p)*(p_th))+(ri_g)+(ri_n)+ri_o_bar,system
83,f83,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((fr_p)*(p_th))+(fr_g)+(fr_n)+(p_fr_bar),system
84,f84,((bo_p)*(p_th))+(bo_g)+p_bo_bar+u_f_o,system
85,f85,((le_p)*(p_th))+(le_g)+(le_n)+le_o_pa,system
